"","var","lvl","att"
"1","married","0",3504.40115698758
"2","married","1",3635.86285915707
"3","age","0",2165.97309774152
"4","age","5",2138.95441675651
"5","age","10",2138.95441675651
"6","age","15",2138.95441675651
"7","age","20",2278.50933176798
"8","age","35",3797.78897727633
"9","age","55",5091.95590005979
"10","age","85",4997.62696692322
"11","agesq","0",3447.8083858627
"12","agesq","5",3335.12908812522
"13","agesq","10",3335.12908812522
"14","agesq","15",3335.12908812522
"15","agesq","20",3347.57570891643
"16","agesq","35",3552.11121192665
"17","agesq","55",3878.77053709203
"18","agesq","85",3785.985150745
"19","sex","0",2813.89333257069
"20","sex","1",3873.18143801685
"21","income","1",3589.16538827737
"22","income","2",3591.5608229477
"23","income","3",3591.5608229477
"24","income","4",3446.44027382481
"25","income","5",3444.38125040823
"26","educ","Advanced",3032.26562391825
"27","educ","Child5",3358.31237610376
"28","educ","College",5245.34305794695
"29","educ","HS",3261.01411991243
"30","educ","LessHS",3254.90324827072
"31","race","1",3333.91762572268
"32","race","2",3908.43033954204
"33","race","3",3396.10284336395
"34","race","4",3357.05349766685
"35","race","5",3866.92710766985
"36","insurance","Medicaid",5530.91615924987
"37","insurance","Medicare",3074.27181812607
"38","insurance","Private",3104.19000942461
"39","insurance","Uninsured",2988.67052126578
"40","region","-1",745.566449474553
"41","region","1",3477.8662418338
"42","region","2",3540.33607884257
"43","region","3",3531.56525953229
"44","region","4",3533.7795964354
